Componente1,Componente2,Componente3,Class
15.498053,28.921417,-1.9053925,0
14.129131,3.3874362,32.903393,0
-23.440733,-12.646455,19.510372,0
4.418012,-2.2544577,-5.9149013,0
-18.346832,20.227179,-1.2667513,0
6.511076,16.132568,3.0246186,0
-27.488792,-27.070955,6.1792884,0
2.963211,7.751767,-18.29321,0
-28.330208,26.22613,-5.1405096,0
-14.227408,-7.2059283,19.842669,0
-5.120833,-35.542126,16.603235,0
35.989765,11.3122425,3.0525007,0
12.919223,-42.991993,5.34197,0
3.2105994,33.2678,3.8894956,0
9.779244,-22.102825,-16.008152,0
-23.44012,19.873482,-19.994806,0
8.940598,-13.045965,-20.08648,0
-30.39608,1.1653175,-13.599167,0
-35.434517,22.59774,3.8935292,0
0.162052,20.346268,-23.926538,0
30.935518,-10.261654,1.6727512,0
21.168093,15.647727,-4.0101423,0
-24.681803,-0.5722847,-5.8575892,0
1.9415064,19.22759,-26.185276,0
19.209373,-6.3132944,3.6153193,0
2.5882716,-7.4633594,-10.745591,0
1.7208328,-22.647001,-27.11635,0
-8.104774,8.973625,-6.0420136,0
-27.479353,-27.790764,10.997896,0
-6.074241,10.651628,-16.601055,0
-20.122478,-2.651976,-1.9902182,0
-3.963308,10.362378,-27.901167,0
-18.907286,-0.18305783,2.2009583,0
-19.829914,1.3816557,1.5933102,0
2.537061,29.804525,-4.750437,0
24.058548,-2.6265023,-8.295323,0
21.688358,-19.702879,15.075666,0
-5.077813,2.379998,-17.521496,0
80.889725,-25.445095,72.48346,0
20.989174,-15.342589,8.119039,0
-16.257963,-2.4281254,1.3737859,0
28.090117,-8.415683,18.3469,0
18.372234,22.744928,12.560237,0
-4.5791473,-29.508293,-24.679062,0
35.32701,5.447375,-11.299479,0
2.3323073,-21.308796,-27.876564,0
-4.4288907,-11.838029,-12.537828,0
31.376663,-22.361797,-0.8863863,0
1.8052381,-18.564915,-30.883726,0
30.731283,-10.774317,0.5251304,0
-30.972422,9.5928955,-0.178028,0
2.490404,-19.843372,29.148472,0
-15.07962,-1.3868358,18.607138,0
3.3701127,0.8866711,5.3829427,0
-13.330244,-1.0165238,34.918205,0
17.074255,5.589617,4.337614,0
-4.1515303,8.591539,-24.725891,0
9.8280525,-9.620621,12.2111225,0
-9.553106,-5.508956,33.067898,1
-34.976486,16.156538,-23.268541,0
-36.881737,2.614391,25.08899,0
-44.664307,-22.965782,9.446959,0
-4.011295,22.149073,2.0302432,0
21.449608,16.928364,-5.0126386,0
5.2592683,19.51764,9.158888,0
22.01796,-1.8202244,14.570909,0
31.335938,-1.5995989,13.194989,0
32.927338,-13.031114,9.238547,0
-12.63638,-12.057824,-31.851177,0
14.753755,9.0810585,35.797024,0
1.6954361,-17.156925,-33.475967,0
-24.816628,22.816313,14.806182,0
5.389271,7.2422223,19.562933,0
2.14405,-8.964218,-34.067066,0
-1.1021261,21.14941,27.011591,0
-19.789064,22.333424,-9.180841,0
15.978276,7.670252,23.838932,0
-16.706758,30.476381,-18.95107,0
-23.449738,-8.484009,-31.344713,0
25.470226,-9.180124,-13.144473,0
-10.0214405,-35.05479,-11.781275,0
9.766575,-32.61632,-7.671478,0
19.963387,8.480053,-13.384054,0
29.368824,1.2187352,21.629677,0
29.679823,-7.8217964,-16.147903,0
-25.356524,13.29665,3.3454502,0
-1.4582373,12.11221,7.376572,0
-13.534393,-3.0966082,-5.560777,0
-19.174814,3.9403427,35.245506,0
-23.006504,-5.6373787,4.2557516,0
25.087227,-8.35201,13.536532,0
3.2745638,-27.404127,-7.183424,0
26.134518,-13.403996,-7.865362,0
-17.669872,-40.80693,17.712654,0
-3.1104124,-0.26929554,17.42087,0
23.737322,-14.126473,19.394712,0
